"RN","ThreAss","ThreCon","intervention","step","Asupp","Bsupp","ABsupp","Apos","Aneg","A","Bpos","Bneg","B","ABpos","ABneg","AB","sr-supporters","sr-opponents","satisfaction-rate","support-rate"
"2","0.5","0.5","1","59","6","32","2","0","6","0","20","11","1","2","0","0","0.625","0","0.55","0.8"
"2","0.5","0.5","1","60","6","32","2","0","6","0","20","11","1","2","0","0","0.625","0","0.55","0.8"
"2","0.5","0.5","1","61","6","32","2","0","6","0","20","11","1","2","0","0","0.625","0","0.55","0.8"
"2","0.5","0.5","1","62","4","34","2","0","4","0","22","11","1","2","0","0","0.6470588235294118","0","0.6","0.85"
"2","0.5","0.5","1","63","2","36","2","0","2","0","24","11","1","2","0","0","0.6666666666666666","0","0.65","0.9"
"2","0.5","0.5","1","64","2","36","2","0","2","0","24","11","1","2","0","0","0.6666666666666666","0","0.65","0.9"
"2","0.5","0.5","1","65","2","36","2","0","2","0","24","11","1","2","0","0","0.6666666666666666","0","0.65","0.9"
"2","0.5","0.5","1","66","2","36","2","0","2","0","24","11","1","2","0","0","0.6666666666666666","0","0.65","0.9"
"2","0.5","0.5","1","67","2","36","2","0","2","0","24","11","1","2","0","0","0.6666666666666666","0","0.65","0.9"
"2","0.5","0.5","1","68","2","36","2","0","2","0","24","11","1","2","0","0","0.6666666666666666","0","0.65","0.9"
"2","0.5","0.5","1","69","2","36","2","0","2","0","24","11","1","2","0","0","0.6666666666666666","0","0.65","0.9"
"2","0.5","0.5","1","70","2","36","2","0","2","0","24","11","1","2","0","0","0.6666666666666666","0","0.65","0.9"
"2","0.5","0.5","1","71","2","36","2","0","2","0","24","11","1","2","0","0","0.6666666666666666","0","0.65","0.9"
"2","0.5","0.5","1","72","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","73","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","74","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","75","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","76","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","77","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","78","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","79","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","80","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","81","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","82","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","83","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","84","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","85","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","86","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
